market_id,question,event_title,volume,end_date,closed
252294,Biden drops out of presidential race?,Biden drops out of presidential race?,21122389.820576,2024-11-04 12:00:00.000000 UTC,1
502223,Biden drops out by July 4? ,Biden drops out by July 4? ,4490151.550265,2024-07-04 12:00:00.000000 UTC,1
503131,Biden drops out by July 12?,Biden drops out by July 12?,2139767.076966,2024-07-12 12:00:00.000000 UTC,1
503254,Biden drops out in July? ,Biden drops out in July? ,2092272.623722,2024-07-31 12:00:00.000000 UTC,1
503182,Will Joe Biden be the 2024 Democratic VP nominee?,Democratic VP nominee?,1726224.101614,2024-08-22 12:00:00.000000 UTC,1
502957,Biden drops out before the Democratic convention?,Biden drops out before the Democratic convention?,1549029.684074,2024-08-19 12:00:00.000000 UTC,1
254409,Will Biden drop out by Friday?,Will Biden drop out by Friday?,670991.957682,2024-02-16 00:00:00.000000 UTC,1
503699,Will Biden drop out on July 21?,When will Biden drop out? ,533552.088246,2024-07-20 12:00:00.000000 UTC,1
503404,Biden drops out by July 19?,Biden drops out by July 19?,524402.225043,2024-07-19 12:00:00.000000 UTC,1
504628,Joe Biden reinstated as Dem Nominee at DNC?,Joe Biden reinstated as Dem Nominee at DNC?,504143.209505,2024-08-22 12:00:00.000000 UTC,1
502995,Will Hillary Clinton call on Biden to drop out?,Who will call for Biden to drop out?,313450.753181,2024-08-31 12:00:00.000000 UTC,1
503988,Biden dropout letter published without consent?,Biden dropout letter published without consent?,291091.904233,2024-07-26 12:00:00.000000 UTC,1
502993,Will Barack Obama call on Biden to drop out?,Will Barack Obama call on Biden to drop out?,251664.719406,2024-08-31 12:00:00.000000 UTC,1
254775,Biden to drop out before April?,Biden to drop out before April?,243703.222662,2024-03-31 00:00:00.000000 UTC,1
503698,Will Biden drop out on July 20?,When will Biden drop out? ,223885.048171,2024-07-20 12:00:00.000000 UTC,1
503172,Biden drops out by Friday? ,Biden drops out by Friday? ,222811.463353,2024-07-05 12:00:00.000000 UTC,1
503702,Will Biden drop out on July 24?,When will Biden drop out? ,205564.382335,2024-07-24 12:00:00.000000 UTC,1
254521,Will Biden drop out by Friday?,Will Biden drop out by Friday?,184987.371391,2024-02-23 00:00:00.000000 UTC,1
503407,Will Biden drop out by Monday?,Will Biden drop out by Monday?,165743.357222,2024-07-22 12:00:00.000000 UTC,1
254424,Will Biden or Haley drop out first?,Will Biden or Haley drop out first?,105185.032295,2024-11-05 00:00:00.000000 UTC,1
503692,Will Biden drop out before Trump's RNC speech?,Will Biden drop out before Trump's RNC speech?,97775.612025,2024-07-18 12:00:00.000000 UTC,1
503697,Will Biden drop out on July 19?,When will Biden drop out? ,96009.795279,2024-07-19 12:00:00.000000 UTC,1
503405,50+ Dem house reps call Biden to drop out by Friday?,50+ Dem house reps call Biden to drop out by Friday?,95769.518699,2024-07-19 12:00:00.000000 UTC,1
503406,10+ Dem senators call on Biden to drop out by Friday?,10+ Dem senators call on Biden to drop out by Friday?,93673.176278,2024-07-19 12:00:00.000000 UTC,1
500562,Biden drops out before May?,Biden drops out before May?,91667.675465,2024-04-30 12:00:00.000000 UTC,1
503705,Biden not drop out by July 26?,When will Biden drop out? ,91608.428341,2024-07-26 12:00:00.000000 UTC,1
503700,Will Biden drop out on July 22?,When will Biden drop out? ,84203.175357,2024-07-22 12:00:00.000000 UTC,1
504047,"Will Biden say ""Resign"" during drop out speech?",What will Biden say during drop out speech?,75777.964131,2024-07-24 12:00:00.000000 UTC,1
504045,"Will Biden say ""Anyway"" five or more times during drop out speech?",What will Biden say during drop out speech?,68166.004808,2024-07-24 12:00:00.000000 UTC,1
502992,Will Nancy Pelosi call on Biden to drop out?,Who will call for Biden to drop out?,58840.480808,2024-08-31 12:00:00.000000 UTC,1
503701,Will Biden drop out on July 23?,When will Biden drop out? ,48281.346556,2024-07-23 12:00:00.000000 UTC,1
503704,Will Biden drop out on July 26?,When will Biden drop out? ,45368.207715,2024-07-26 12:00:00.000000 UTC,1
503384,Biden drops out today? ,Biden drops out today? ,44714.473627,2024-07-11 12:00:00.000000 UTC,1
504039,"Will Biden say ""Trump"" during drop out speech?",What will Biden say during drop out speech?,44332.018246,2024-07-24 12:00:00.000000 UTC,1
502994,Will Alexandria Ocasio-Cortez call on Biden to drop out?,Who will call for Biden to drop out?,39789.785302,2024-08-31 12:00:00.000000 UTC,1
504065,Will Joe Biden be sitting during dropout speech?,Will Joe Biden be sitting during dropout speech?,38588.741616,2024-07-24 12:00:00.000000 UTC,1
503703,Will Biden drop out on July 25?,When will Biden drop out? ,34136.215981,2024-07-25 12:00:00.000000 UTC,1
502998,Will a Democratic Governor call on Biden to drop out?,Will a Democratic Governor call on Biden to drop out?,32781.277555,2024-08-19 12:00:00.000000 UTC,1
503270,15+ Dem House reps call Biden to drop out by Friday?,15+ Dem House reps call Biden to drop out by Friday?,32413.165116,2024-07-12 12:00:00.000000 UTC,1
503194,Will Democrats publish letter asking Biden to drop out?,Will Democrats publish letter asking Biden to drop out?,26698.739416,2024-07-05 12:00:00.000000 UTC,1
504028,Will Biden's withdrawal speech be live?,Will Biden's withdrawal speech be live?,23661.579678,2024-07-24 12:00:00.000000 UTC,1
503170,Will Biden drop out today?,Will Biden drop out today?,23221.935782,2024-07-03 12:00:00.000000 UTC,1
504038,"Will Biden say ""Drop out"" during drop out speech?",What will Biden say during drop out speech?,23094.529294,2024-07-24 12:00:00.000000 UTC,1
503696,Will Biden drop out on July 18?,When will Biden drop out? ,22559.454124,2024-07-18 12:00:00.000000 UTC,1
502999,Will a Democratic Senator call on Biden to drop out?,Will a Democratic Senator call on Biden to drop out?,21750.096297,2024-08-19 12:00:00.000000 UTC,1
504046,"Will Biden say ""Folks"" three or more times during drop out speech?",What will Biden say during drop out speech?,20647.389402,2024-07-24 12:00:00.000000 UTC,1
504040,"Will Biden say ""Obama"" during drop out speech?",What will Biden say during drop out speech?,20564.378109,2024-07-24 12:00:00.000000 UTC,1
503869,Will Hakeem Jeffries call on Biden to drop out by July 31?,Will Hakeem Jeffries call on Biden to drop out by July 31?,20540.416665,2024-07-31 12:00:00.000000 UTC,1
253033,Biden drop out of presidential race in 2023?,Biden drop out of presidential race in 2023?,19874.500760000003,2023-12-31 00:00:00.000000 UTC,1
504051,"Will Biden say ""Covid"" during drop out speech?",What will Biden say during drop out speech?,18787.657285,2024-07-24 12:00:00.000000 UTC,1
504068,"Will Biden say ""Health"" during dropout speech?","Will Biden say ""Health"" during dropout speech?",17696.894063,2024-07-24 12:00:00.000000 UTC,1
503148,"Will Biden say ""Drop out"" in ABC interview?",What will Biden say in ABC interview? ,15693.212865,2024-07-05 12:00:00.000000 UTC,1
504050,"Will Biden say ""Sick"" during drop out speech?",What will Biden say during drop out speech?,14673.034701,2024-07-24 12:00:00.000000 UTC,1
504049,"Will Biden say ""Democracy"" during drop out speech?",What will Biden say during drop out speech?,14159.306763,2024-07-24 12:00:00.000000 UTC,1
504061,Biden escorted back from podium after dropout speech?,Biden escorted back from podium after dropout speech?,14113.101823,2024-07-24 12:00:00.000000 UTC,1
503387,"Will Biden say ""Drop out"" during July 11 press conference?",What will Biden say during his Press Conference today?,12372.781483,2024-07-11 12:00:00.000000 UTC,1
504041,"Will Biden say ""Kamala"" or ""Harris"" during drop out speech?",What will Biden say during drop out speech?,12227.44965,2024-07-24 12:00:00.000000 UTC,1
504053,"Will Biden say ""Brat"" during drop out speech?",What will Biden say during drop out speech?,11450.129932,2024-07-24 12:00:00.000000 UTC,1
504043,"Will Biden say ""Old"" during drop out speech?",What will Biden say during drop out speech?,9999.833678,2024-07-24 12:00:00.000000 UTC,1
503132,Another Dem House member calls for Biden to drop out by Friday?,Another Dem House member calls for Biden to drop out by Friday?,9053.581132,2024-07-05 12:00:00.000000 UTC,1
504042,"Will Biden say ""Jill"" during drop out speech?",What will Biden say during drop out speech?,8966.172919,2024-07-24 12:00:00.000000 UTC,1
504044,"Will Biden say ""Dementia"" during drop out speech?",What will Biden say during drop out speech?,8661.932896,2024-07-24 12:00:00.000000 UTC,1
504063,Biden's dropout speech over 15 minutes?,Biden's dropout speech over 15 minutes?,8400.854071,2024-07-24 12:00:00.000000 UTC,1
504062,Will Biden stumble during his dropout speech?,Will Biden stumble during his dropout speech?,5804.295544,2024-07-24 12:00:00.000000 UTC,1
503333,Will Hakeem Jeffries call on Biden to drop out by July 21?,Will Hakeem Jeffries call on Biden to drop out by July 21?,4836.24168,2024-07-21 12:00:00.000000 UTC,1
504052,"Will Biden say ""Malarkey"" during drop out speech?",What will Biden say during drop out speech?,4747.886925,2024-07-24 12:00:00.000000 UTC,1
503473,"Will Biden say ""Drop out"" during Lester Holt interview?",What will Biden say during Lester Holt interview?,3790.839141,2024-07-15 12:00:00.000000 UTC,1
503197,Will Joe Manchin call on Biden to drop out?,Who will call for Biden to drop out?,3398.088916,2024-08-31 12:00:00.000000 UTC,1
503110,"Will Biden say ""Drop out"" during his speech?",What will Biden say during Immunity Speech today?,1000.0,2024-07-31 12:00:00.000000 UTC,1
1981597,Will Hunter Biden be the 2028 Democratic Vice-Presidential nominee?,Democratic VP Nominee 2028,357.0748,2028-08-10 00:00:00.000000 UTC,0
