market_id,event_title,data_referencia,outcome,probabilidade_atual,probabilidade_anterior,variacao_probabilidade,volume_atual,volume_medio_recente,volume_zscore,unique_traders,tipo_alerta
252294,Biden drops out,2024-06-25 12:00:00.000000 UTC,YES,0.219,0.22,-0.001,676.0,12.0,15.45,10,VOLUME_ANOMALO
252294,Biden drops out,2024-06-26 00:00:00.000000 UTC,YES,0.21,0.21,0.0,1723.0,74.0,10.72,6,VOLUME_ANOMALO
252294,Biden drops out,2024-06-26 01:00:00.000000 UTC,YES,0.21,0.21,0.0,1334.0,146.0,3.22,8,VOLUME_ANOMALO
252294,Biden drops out,2024-06-27 03:00:00.000000 UTC,YES,0.18,0.186,-0.006,776.0,53.0,5.67,6,VOLUME_ANOMALO
252294,Biden drops out,2024-06-28 00:00:00.000000 UTC,YES,0.2,,,3092.0,169.0,7.25,6,VOLUME_ANOMALO
252294,Biden drops out,2024-06-28 01:00:00.000000 UTC,YES,0.32,0.2,0.12,15453.0,298.0,21.11,23,VOLUME_ANOMALO
252294,Biden drops out,2024-06-28 02:00:00.000000 UTC,YES,0.328,0.32,0.008,23430.0,937.0,7.09,41,VOLUME_ANOMALO
252294,Biden drops out,2024-06-29 15:00:00.000000 UTC,YES,0.32,0.321,-0.001,9554.0,1544.0,4.47,6,VOLUME_ANOMALO
252294,Biden drops out,2024-06-30 01:00:00.000000 UTC,YES,0.397,0.35,0.047,9452.0,1108.0,3.99,17,VOLUME_ANOMALO
252294,Biden drops out,2024-06-30 04:00:00.000000 UTC,YES,0.507,0.445,0.063,19712.0,1620.0,6.57,33,VOLUME_ANOMALO
252294,Biden drops out,2024-06-30 13:00:00.000000 UTC,YES,0.388,0.44,-0.052,27941.0,2830.0,5.59,30,VOLUME_ANOMALO
252294,Biden drops out,2024-06-30 20:00:00.000000 UTC,YES,0.405,0.466,-0.061,32870.0,4645.0,4.3,26,VOLUME_ANOMALO
252294,Biden drops out,2024-07-02 16:00:00.000000 UTC,YES,0.37,0.377,-0.007,7469.0,1728.0,3.09,18,VOLUME_ANOMALO
252294,Biden drops out,2024-07-02 17:00:00.000000 UTC,YES,0.4,0.37,0.03,22331.0,2031.0,9.39,22,VOLUME_ANOMALO
252294,Biden drops out,2024-07-03 14:00:00.000000 UTC,YES,0.692,0.595,0.096,31710.0,5830.0,5.08,24,VOLUME_ANOMALO
252294,Biden drops out,2024-07-03 18:00:00.000000 UTC,YES,0.601,0.715,-0.114,40765.0,7152.0,4.74,40,VOLUME_ANOMALO
252294,Biden drops out,2024-07-05 05:00:00.000000 UTC,YES,0.64,0.66,-0.02,31027.0,3235.0,7.53,14,VOLUME_ANOMALO
252294,Biden drops out,2024-07-06 23:00:00.000000 UTC,YES,0.585,0.61,-0.025,8541.0,1595.0,3.04,18,VOLUME_ANOMALO
252294,Biden drops out,2024-07-07 02:00:00.000000 UTC,YES,0.612,0.59,0.022,10196.0,1736.0,3.14,12,VOLUME_ANOMALO
252294,Biden drops out,2024-07-08 13:00:00.000000 UTC,YES,0.567,0.58,-0.013,27310.0,1821.0,12.68,26,VOLUME_ANOMALO
252294,Biden drops out,2024-07-08 23:00:00.000000 UTC,YES,0.383,0.443,-0.06,21788.0,3881.0,3.07,42,VOLUME_ANOMALO
252294,Biden drops out,2024-07-09 03:00:00.000000 UTC,YES,0.49,0.334,0.156,46012.0,5468.0,5.82,37,VOLUME_ANOMALO
252294,Biden drops out,2024-07-10 13:00:00.000000 UTC,YES,0.5,0.439,0.061,12451.0,1798.0,4.28,10,VOLUME_ANOMALO
252294,Biden drops out,2024-07-11 02:00:00.000000 UTC,YES,0.57,0.551,0.019,15274.0,2719.0,3.18,22,VOLUME_ANOMALO
252294,Biden drops out,2024-07-11 13:00:00.000000 UTC,YES,0.599,0.59,0.009,34382.0,3348.0,6.85,13,VOLUME_ANOMALO
252294,Biden drops out,2024-07-12 23:00:00.000000 UTC,YES,0.509,0.58,-0.071,50368.0,4888.0,7.07,29,VOLUME_ANOMALO
252294,Biden drops out,2024-07-14 09:00:00.000000 UTC,YES,0.474,0.411,0.064,8546.0,1641.0,4.06,21,VOLUME_ANOMALO
252294,Biden drops out,2024-07-15 00:00:00.000000 UTC,YES,0.31,0.349,-0.039,12373.0,2075.0,5.21,28,VOLUME_ANOMALO
252294,Biden drops out,2024-07-16 20:00:00.000000 UTC,YES,0.303,0.319,-0.016,7325.0,1035.0,5.02,19,VOLUME_ANOMALO
252294,Biden drops out,2024-07-17 01:00:00.000000 UTC,YES,0.32,0.32,0.0,10593.0,1110.0,5.31,10,VOLUME_ANOMALO
252294,Biden drops out,2024-07-17 17:00:00.000000 UTC,YES,0.49,0.377,0.113,20748.0,1528.0,7.48,50,VOLUME_ANOMALO
252294,Biden drops out,2024-07-17 18:00:00.000000 UTC,YES,0.518,0.49,0.028,22694.0,2351.0,4.34,50,VOLUME_ANOMALO
252294,Biden drops out,2024-07-17 22:00:00.000000 UTC,YES,0.637,0.537,0.1,51737.0,4273.0,7.1,81,VOLUME_ANOMALO
252294,Biden drops out,2024-07-20 23:00:00.000000 UTC,YES,0.743,0.717,0.026,28708.0,7327.0,3.89,22,VOLUME_ANOMALO
252294,Biden drops out,2024-07-21 17:00:00.000000 UTC,YES,0.894,0.713,0.182,86444.0,5379.0,12.1,82,VOLUME_ANOMALO
252294,Biden drops out,2024-07-21 18:00:00.000000 UTC,YES,0.998,0.894,0.103,112677.0,8561.0,5.83,110,VOLUME_ANOMALO
