market_id,event_title,data_referencia,outcome,probabilidade_atual,probabilidade_anterior,variacao_probabilidade,volume_atual,ma_curta_3h,ma_longa_12h,tipo_alerta
252294,Biden drops out,2024-06-24 03:00:00.000000 UTC,YES,0.226,0.23,-0.004,909.0,0.231,0.231,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-06-24 06:00:00.000000 UTC,YES,0.24,0.24,0.0,7.0,0.237,0.233,CRUZAMENTO_ALTA
252294,Biden drops out,2024-06-24 14:00:00.000000 UTC,YES,0.23,0.23,0.0,1.0,0.233,0.233,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-06-27 14:00:00.000000 UTC,YES,0.19,0.19,0.0,40.0,0.187,0.185,CRUZAMENTO_ALTA
252294,Biden drops out,2024-06-28 14:00:00.000000 UTC,YES,0.355,0.363,-0.008,5546.0,0.374,0.388,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-06-28 16:00:00.000000 UTC,YES,0.429,0.428,0.001,1327.0,0.404,0.392,CRUZAMENTO_ALTA
252294,Biden drops out,2024-06-28 18:00:00.000000 UTC,YES,0.335,0.343,-0.009,1754.0,0.369,0.389,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-06-29 06:00:00.000000 UTC,YES,0.33,0.32,0.01,143.0,0.32,0.32,CRUZAMENTO_ALTA
252294,Biden drops out,2024-06-29 12:00:00.000000 UTC,YES,0.312,0.32,-0.008,835.0,0.321,0.322,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-06-29 15:00:00.000000 UTC,YES,0.32,0.321,-0.001,9554.0,0.323,0.321,CRUZAMENTO_ALTA
252294,Biden drops out,2024-06-29 16:00:00.000000 UTC,YES,0.31,0.32,-0.01,304.0,0.317,0.321,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-06-29 21:00:00.000000 UTC,YES,0.366,0.314,0.052,2932.0,0.33,0.322,CRUZAMENTO_ALTA
252294,Biden drops out,2024-06-30 13:00:00.000000 UTC,YES,0.388,0.44,-0.052,27941.0,0.436,0.459,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-06-30 18:00:00.000000 UTC,YES,0.476,0.439,0.037,4090.0,0.451,0.447,CRUZAMENTO_ALTA
252294,Biden drops out,2024-06-30 21:00:00.000000 UTC,YES,0.439,0.405,0.034,16529.0,0.437,0.444,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-06-30 23:00:00.000000 UTC,YES,0.438,0.443,-0.005,2406.0,0.44,0.437,CRUZAMENTO_ALTA
252294,Biden drops out,2024-07-01 03:00:00.000000 UTC,YES,0.43,0.45,-0.02,625.0,0.44,0.442,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-07-01 04:00:00.000000 UTC,YES,0.45,0.43,0.02,3503.0,0.443,0.443,CRUZAMENTO_ALTA
252294,Biden drops out,2024-07-01 08:00:00.000000 UTC,YES,0.405,0.416,-0.011,367.0,0.426,0.435,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-07-02 04:00:00.000000 UTC,YES,0.389,0.349,0.039,3748.0,0.365,0.36,CRUZAMENTO_ALTA
252294,Biden drops out,2024-07-02 11:00:00.000000 UTC,YES,0.353,0.36,-0.007,620.0,0.358,0.36,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-07-02 16:00:00.000000 UTC,YES,0.37,0.377,-0.007,7469.0,0.368,0.363,CRUZAMENTO_ALTA
252294,Biden drops out,2024-07-03 10:00:00.000000 UTC,YES,0.441,0.535,-0.094,7404.0,0.529,0.544,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-07-03 13:00:00.000000 UTC,YES,0.595,0.607,-0.012,714.0,0.595,0.578,CRUZAMENTO_ALTA
252294,Biden drops out,2024-07-03 22:00:00.000000 UTC,YES,0.62,0.628,-0.008,8946.0,0.627,0.655,CRUZAMENTO_BAIXA
252294,Biden drops out,2024-07-04 16:00:00.000000 UTC,YES,0.612,0.626,-0.013,410.0,0.612,0.612,CRUZAMENTO_ALTA
