market_id,question,event_title,volume,created_at,end_date
563368,Will Satoshi move any Bitcoin in 2025?,Will Satoshi move any Bitcoin by ___?,44180791.509037,2025-07-14 15:33:12.000000 UTC,2025-12-31 00:00:00.000000 UTC
516861,"Will Bitcoin reach $1,000,000 by December 31, 2025?",What price will Bitcoin hit in 2025?,31394607.518008,2024-12-30 20:41:14.000000 UTC,2025-12-31 12:00:00.000000 UTC
1303355,"Will Bitcoin reach $150,000 in February?",What price will Bitcoin hit in February?,28829221.50917,2026-01-31 02:13:34.000000 UTC,2026-03-01 05:00:00.000000 UTC
512600,Will Bitcoin hit $100k in November?,Will Bitcoin hit $100k in November?,28587434.430255,2024-11-08 22:55:15.000000 UTC,2024-11-30 12:00:00.000000 UTC
1082748,"Will Bitcoin reach $150,000 in January?",What price will Bitcoin hit in January?,26660909.268647,2026-01-01 19:17:42.000000 UTC,2026-02-01 05:00:00.000000 UTC
1473040,"Will Bitcoin reach $150,000 in March?",What price will Bitcoin hit in March?,24149352.753224906,2026-03-01 05:11:03.000000 UTC,2026-04-01 04:00:00.000000 UTC
512250,Will Trump create Bitcoin reserve in first 100 days?,Will Trump create Bitcoin reserve in first 100 days?,23324353.367396,2024-11-06 23:05:42.000000 UTC,2025-04-29 12:00:00.000000 UTC
255229,Will Bitcoin hit $100k in 2024?,Will Bitcoin hit $100k in 2024?,22807235.891544,2024-03-04 15:54:19.000000 UTC,2024-12-30 12:00:00.000000 UTC
516863,"Will Bitcoin reach $200,000 by December 31, 2025?",What price will Bitcoin hit in 2025?,19275707.736605,2024-12-30 20:43:40.000000 UTC,2025-12-31 12:00:00.000000 UTC
516926,MicroStrategy sells any Bitcoin in 2025?,MicroStrategy sells any Bitcoin by ___ ?,17976157.529867,2024-12-31 16:02:33.000000 UTC,2025-12-31 12:00:00.000000 UTC
