trade_date,daily_trade_count,volume_usd,preco_medio,preco_min,preco_max,amplitude_dia
2026-01-31,68,7901.0,0.369,0.004,0.991,0.987
2026-02-01,530,77559.0,0.32,0.002,0.997,0.995
2026-02-02,1570,89560.0,0.144,0.004,0.996,0.992
2026-02-03,2561,63610.0,0.085,0.004,0.996,0.992
2026-02-04,1296,71109.0,0.108,0.003,0.996,0.993
2026-02-05,1335,119006.0,0.325,0.003,0.996,0.993
2026-02-06,975,6573.0,0.004,0.003,0.997,0.994
2026-02-07,1012,66860.0,0.109,0.003,0.996,0.993
2026-02-08,708,11710.0,0.056,0.003,0.997,0.994
2026-02-09,1564,376464.0,0.254,0.002,0.998,0.996
2026-02-10,1193,23215.0,0.052,0.002,0.997,0.995
2026-02-11,945,48275.0,0.079,0.002,0.997,0.995
2026-02-12,1185,117810.0,0.211,0.002,0.998,0.996
2026-02-13,1021,12708.0,0.025,0.002,0.997,0.995
2026-02-14,865,426317.0,0.13,0.002,0.997,0.995
2026-02-15,819,416265.0,0.193,0.002,0.997,0.995
2026-02-16,782,2474.0,0.01,0.002,0.997,0.995
2026-02-17,704,14387.0,0.032,0.002,0.998,0.996
2026-02-18,1021,72838.0,0.144,0.002,0.998,0.996
2026-02-19,930,68113.0,0.073,0.001,0.999,0.998
2026-02-20,449,728.0,0.001,0.001,0.002,0.001
2026-02-21,502,1502.0,0.001,0.001,0.002,0.001
2026-02-22,1057,10124.0,0.003,0.001,0.998,0.997
2026-02-23,619,827.0,0.001,0.001,0.002,0.001
2026-02-24,1271,2644.0,0.006,0.001,0.999,0.998
2026-02-25,599,239710.0,0.133,0.001,0.999,0.998
2026-02-26,101,43.0,0.001,0.001,0.001,0.0
2026-02-27,78,184.0,0.001,0.001,0.001,0.0
2026-02-28,58,177.0,0.001,0.001,0.001,0.0
2026-03-01,23,168.0,0.001,0.001,0.001,0.0
