market_id,question,hora,trades,volume_usd,preco_medio,preco_min,preco_max
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 04:00:00.000000 UTC,5,99.0,0.206,0.01,0.99
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 07:00:00.000000 UTC,1,0.0,0.003,0.003,0.003
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 08:00:00.000000 UTC,2,0.0,0.002,0.002,0.002
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 09:00:00.000000 UTC,5,10.0,0.001,0.001,0.001
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 10:00:00.000000 UTC,19,26.0,0.001,0.001,0.002
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 11:00:00.000000 UTC,12,3051.0,0.916,0.005,0.999
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 12:00:00.000000 UTC,5,42.0,0.999,0.999,0.999
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 13:00:00.000000 UTC,21,5882.0,0.999,0.999,0.999
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 14:00:00.000000 UTC,3,650.0,0.999,0.999,0.999
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 15:00:00.000000 UTC,3,277.0,0.999,0.999,0.999
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 16:00:00.000000 UTC,25,7878.0,0.759,0.001,0.999
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 17:00:00.000000 UTC,2,1.0,0.004,0.004,0.004
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 18:00:00.000000 UTC,7,2471.0,0.999,0.999,0.999
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 19:00:00.000000 UTC,2,206.0,0.5,0.004,0.996
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 20:00:00.000000 UTC,3,3633.0,0.666,0.001,0.999
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 22:00:00.000000 UTC,1,1.0,0.001,0.001,0.001
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-03-31 23:00:00.000000 UTC,2,7.0,0.5,0.002,0.998
1800007,"Will Bitcoin reach $75,000 on March 31?",2026-04-01 00:00:00.000000 UTC,2,100.0,0.999,0.999,0.999
1800018,"Will Bitcoin reach $74,000 on March 31?",2026-03-31 05:00:00.000000 UTC,3,0.0,0.01,0.01,0.01
